energy,protein,carbs,sugar,added_sugar,fat,sat_fat,trans_fat,fiber,sodium,msg,sweeteners,colors,processed_oils,ultra_processed
551.0,10.5,49.3,42.6,0.0,35.2,17.0,0.1,0.0,120.0,0,0,0,0,0
556.0,7.1,55.0,37.0,37.0,34.2,17.5,0.0,0.0,0.0,0,0,0,0,0
511.0,5.0,67.2,61.5,57.4,24.8,13.9,0.1,0.0,117.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0,0,0,0,0
374.0,8.6,81.3,27.5,27.0,3.1,1.3,0.0,7.0,240.0,0,0,0,0,0
270.0,10.7,45.7,1.5,0.0,4.7,0.7,0.0,9.0,0.0,0,0,0,0,0
13.0,3.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0,0,0,0,0
126.0,2.0,15.3,12.6,12.6,6.3,3.5,0.04,0.0,47.0,0,0,0,0,0
251.0,4.1,26.0,21.9,16.8,14.5,8.7,0.4,0.0,46.0,0,0,0,0,0
557.0,6.0,57.3,43.0,43.0,33.7,20.4,0.0,0.0,0.0,0,0,0,0,0
206.0,3.5,21.8,21.7,14.8,11.7,7.0,0.4,0.0,49.0,0,0,0,0,0
425.4,13.5,68.1,0.0,0.0,10.9,3.6,0.0,11.5,206.5,0,0,0,0,0
390.0,3.9,45.5,37.7,37.4,22.5,22.2,0.04,3.8,24.3,0,0,0,0,0
553.0,8.7,52.4,46.1,37.1,35.1,22.5,0.2,0.0,140.0,0,0,0,0,0
386.0,8.1,80.0,21.8,12.5,5.1,0.9,0.0,6.4,140.0,0,0,0,0,0
218.0,4.8,24.6,24.4,14.4,11.2,5.5,0.0,0.2,54.4,0,0,0,0,0
115.0,0.0,27.25,27.25,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0
190.0,10.1,26.9,21.5,0.9,4.7,1.2,0.0,5.2,64.1,0,0,0,0,0
42.4,0.0,10.6,10.6,10.6,0.05,0.0,0.0,0.0,1080.0,0,0,0,0,0
0.0,8.2,69.24,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,10.2,63.3,10.3,1.9,0.0,0.0,0.0,0.0,1910.0,0,0,0,0,0
2000.0,6.0,71.8,32.2,32.1,0.0,0.0,0.0,0.0,101.0,0,0,0,0,0
173.0,2.8,17.9,15.1,11.6,10.0,6.0,0.3,0.0,32.0,0,0,0,0,0
547.0,9.7,54.4,52.7,39.0,32.4,20.0,0.2,0.0,170.0,0,0,0,0,0
